"PROGRAMA","FACULTAD","TIPO_NIVEL","SEDE_NOMBRE_MAT","2009","2019"
"Administracion De Empresas","Ciencias económicas","Pregrado","Bogotá",128,103
"Antropologia","Ciencias humanas","Pregrado","Bogotá",61,79
"Arquitectura","Artes","Pregrado","Bogotá",96,99
"Artes Plasticas","Artes","Pregrado","Bogotá",54,34
"Biologia","Ciencias","Pregrado","Bogotá",58,99
"Ciencia Política","Derecho, ciencias políticas y sociales","Pregrado","Bogotá",88,127
"Cine Y Television","Artes","Pregrado","Bogotá",34,25
"Contaduria Publica","Ciencias económicas","Pregrado","Bogotá",151,79
"Derecho","Derecho, ciencias políticas y sociales","Pregrado","Bogotá",55,125
"Diseño Grafico","Artes","Pregrado","Bogotá",33,49
"Diseño Industrial","Artes","Pregrado","Bogotá",81,66
"Economia","Ciencias económicas","Pregrado","Bogotá",126,139
"Enfermeria","Enfermería","Pregrado","Bogotá",176,63
"Español Y Filologia Clasica","Ciencias humanas","Pregrado","Bogotá",16,29
"Estadistica","Ciencias","Pregrado","Bogotá",21,56
"Estudios Literarios","Ciencias humanas","Pregrado","Bogotá",30,40
"Farmacia","Ciencias","Pregrado","Bogotá",102,121
"Filologia E Idiomas","Ciencias humanas","Pregrado","Bogotá",106,97
"Filosofia","Ciencias humanas","Pregrado","Bogotá",33,33
"Fisica","Ciencias","Pregrado","Bogotá",44,59
"Fisioterapia","Medicina","Pregrado","Bogotá",32,30
"Fonoaudiologia","Medicina","Pregrado","Bogotá",34,16
"Geografia","Ciencias humanas","Pregrado","Bogotá",25,26
"Geologia","Ciencias","Pregrado","Bogotá",48,81
"Historia","Ciencias humanas","Pregrado","Bogotá",25,30
"Ingenieria Agricola","Ingeniería","Pregrado","Bogotá",48,37
"Ingenieria Agronomica","Ciencias agrarias","Pregrado","Bogotá",96,77
"Ingenieria Civil","Ingeniería","Pregrado","Bogotá",181,142
"Ingenieria De Sistemas Y Computacion","Ingeniería","Pregrado","Bogotá",114,92
"Ingenieria Electrica","Ingeniería","Pregrado","Bogotá",40,96
"Ingenieria Electronica","Ingeniería","Pregrado","Bogotá",89,57
"Ingenieria Industrial","Ingeniería","Pregrado","Bogotá",70,57
"Ingenieria Mecanica","Ingeniería","Pregrado","Bogotá",93,100
"Ingenieria Mecatronica","Ingeniería","Pregrado","Bogotá",47,51
"Ingenieria Quimica","Ingeniería","Pregrado","Bogotá",139,127
"Lingüistica","Ciencias humanas","Pregrado","Bogotá",35,41
"Matematicas","Ciencias","Pregrado","Bogotá",40,33
"Medicina","Medicina","Pregrado","Bogotá",173,177
"Medicina Veterinaria","Medicina veterinaria y de zootecnia","Pregrado","Bogotá",63,90
"Musica","Artes","Pregrado","Bogotá",7,9
"Musica Instrumental","Artes","Pregrado","Bogotá",21,49
"Nutricion Y Dietetica","Medicina","Pregrado","Bogotá",78,59
"Odontologia","Odontología","Pregrado","Bogotá",85,68
"Psicologia","Ciencias humanas","Pregrado","Bogotá",75,133
"Quimica","Ciencias","Pregrado","Bogotá",82,49
"Sociologia","Ciencias humanas","Pregrado","Bogotá",64,72
"Terapia Ocupacional","Medicina","Pregrado","Bogotá",35,13
"Trabajo Social","Ciencias humanas","Pregrado","Bogotá",56,80
"Zootecnia","Medicina veterinaria y de zootecnia","Pregrado","Bogotá",76,46
